LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
10050,Albury (C),18,64,"6,574",76,"1,532",41,610,668,"2,224","3,812","3,014","3,641",894,"2,170",178,825,6,"11,329",16,<5,32,0,6,13,425,459
10110,Armidale Dumaresq (A),62,100,"2,510",65,545,17,259,440,"1,019","1,647","1,287","2,135",838,958,117,347,<5,"4,539",<5,<5,8,0,<5,<5,202,813
10150,Ashfield (A),9,6,"4,154",75,769,11,268,581,904,"1,553","1,210","1,458",439,822,79,149,7,"5,954",8,31,30,0,11,<5,42,291
10200,Auburn (C),6,<5,"5,714",194,"2,438",55,"1,584",440,"2,119","6,689","5,266","6,285","1,504","2,622",972,628,14,"11,491",17,130,101,0,53,16,230,974
10250,Ballina (A),18,63,"7,025",100,"1,249",36,545,822,"1,841","3,104","2,293","2,576",444,"1,572",186,480,8,"10,790",19,0,34,0,9,15,200,162
10300,Balranald (A),<5,<5,262,<5,57,<5,26,15,93,157,118,92,20,55,<5,22,0,440,0,0,<5,0,0,<5,<5,5
10350,Bankstown (C),24,29,"20,994",304,"8,799",323,"5,559","1,486","6,922","17,518","13,829","14,718","3,293","6,539","2,235","2,191",47,"39,917",39,144,257,0,131,60,523,"2,320"
10470,Bathurst Regional (A),40,84,"4,669",81,"1,067",44,464,507,"1,691","2,879","2,277","2,554",754,"1,218",173,698,<5,"8,128",14,<5,18,0,<5,<5,258,592
10550,Bega Valley (A),18,59,"6,162",39,969,16,432,649,"1,908","2,416","1,808","1,922",347,"1,260",166,401,11,"9,655",9,<5,33,0,8,12,156,121
10600,Bellingen (A),5,11,"2,139",32,375,<5,178,235,658,"1,139",889,989,167,658,81,195,<5,"3,580",5,0,9,0,7,5,73,55
10650,Berrigan (A),0,6,"1,721",7,275,<5,113,201,325,577,421,459,106,268,23,105,<5,"2,418",<5,<5,9,0,<5,<5,28,24
10750,Blacktown (C),88,352,"26,380",402,"10,382",558,"5,342","1,375","10,190","28,050","21,953","20,623","3,953","10,419","1,806","4,811",41,"52,892",90,222,330,0,100,69,"1,405","2,322"
10800,Bland (A),0,6,801,<5,153,0,71,146,234,386,288,264,31,141,20,72,<5,"1,244",<5,0,6,0,0,<5,21,9
10850,Blayney (A),<5,<5,908,5,192,7,77,124,255,482,356,376,64,220,19,99,0,"1,453",<5,0,<5,0,<5,<5,36,16
10900,Blue Mountains (C),19,24,"10,261",137,"1,830",82,619,"1,215","2,503","4,302","3,294","3,592",896,"1,802",178,652,7,"15,033",24,<5,51,0,7,16,180,349
10950,Bogan (A),6,19,361,<5,46,<5,16,52,85,193,153,170,22,99,9,55,0,554,<5,0,<5,0,<5,<5,15,<5
11000,Bombala (A),<5,0,359,<5,60,<5,30,44,122,162,109,132,28,70,11,22,<5,577,<5,0,<5,0,<5,<5,14,<5
11050,Boorowa (A),0,0,372,<5,82,<5,32,54,126,180,137,150,33,78,9,31,<5,611,<5,0,<5,0,5,<5,7,12
11100,Botany Bay (C),15,16,"4,716",38,"1,135",32,477,367,"1,253","2,379","1,819","1,842",401,990,116,267,5,"7,267",10,9,39,0,12,<5,84,256
11150,Bourke (A),12,46,249,<5,72,<5,48,12,128,289,247,283,18,187,11,118,0,596,0,0,<5,0,<5,0,40,<5
11200,Brewarrina (A),10,30,117,0,60,0,47,13,145,176,156,182,9,157,<5,83,0,442,<5,0,0,0,0,0,17,<5
11250,Broken Hill (C),24,65,"3,014",21,744,18,355,104,"1,321","1,404","1,212","1,303",138,"1,059",81,424,6,"5,679",5,0,15,0,19,18,190,30
11300,Burwood (A),<5,8,"3,420",54,660,8,245,525,692,"1,533","1,100","1,363",441,662,104,121,6,"4,913",<5,39,26,0,8,<5,43,284
11350,Byron (A),11,12,"3,240",170,609,10,291,468,"1,769","2,842","2,209","2,737",507,"2,059",215,438,6,"6,806",21,<5,44,0,6,12,138,128
11400,Cabonne (A),<5,12,"1,684",12,312,8,127,230,398,838,586,553,103,295,42,145,<5,"2,535",<5,<5,9,0,<5,<5,51,31
11450,Camden (A),13,28,"5,743",61,"2,211",143,670,550,"1,294","4,811","3,730","3,128",528,"1,086",204,795,<5,"9,222",19,13,48,0,8,7,126,313
11500,Campbelltown (C),57,169,"14,018",222,"6,563",263,"3,303",631,"6,077","14,987","12,174","11,199","1,926","5,527",951,"3,081",19,"29,791",53,48,176,0,49,41,784,"1,093"
11520,Canada Bay (A),5,0,"7,177",94,"1,440",23,428,"1,604","1,138","2,561","1,927","2,061",566,845,110,216,5,"9,422",5,27,50,0,16,<5,52,362
11550,Canterbury (C),5,15,"16,404",224,"5,308",149,"2,832","1,220","4,503","12,050","9,472","10,257","2,167","4,646","1,497","1,243",45,"28,010",29,221,225,<5,85,33,312,"1,407"
11600,Carrathool (A),0,<5,249,<5,54,<5,20,35,82,193,143,142,15,84,12,37,0,425,0,0,<5,0,<5,0,11,10
11700,Central Darling (A),<5,25,173,0,53,<5,34,15,125,167,145,204,9,168,9,56,<5,450,0,0,0,0,<5,<5,28,<5
11720,Cessnock (C),20,91,"6,836",41,"2,298",68,"1,172",318,"3,375","4,602","3,841","3,957",493,"2,748",267,"1,294",17,"14,112",21,<5,48,0,22,43,504,158
11730,Clarence Valley (A),39,116,"9,660",41,"2,418",32,"1,296",754,"3,597","4,362","3,383","3,833",649,"2,749",310,923,15,"17,289",24,7,51,0,32,31,540,167
11750,Cobar (A),5,13,442,<5,84,<5,45,41,167,264,217,169,11,130,11,80,0,796,<5,0,<5,0,<5,0,17,<5
11800,Coffs Harbour (C),48,112,"11,144",130,"2,473",65,"1,175",870,"3,712","6,110","4,693","5,042",955,"3,461",386,"1,138",16,"19,571",37,6,54,0,29,32,624,395
11860,Conargo (A),0,0,69,<5,17,0,8,14,27,51,35,47,7,19,<5,7,0,118,0,0,0,0,0,0,<5,<5
12000,Coolamon (A),0,<5,674,<5,145,7,51,92,176,297,218,215,30,118,18,49,<5,"1,016",<5,0,<5,0,<5,<5,14,13
12050,Cooma-Monaro (A),<5,<5,"1,441",13,235,5,83,188,446,654,503,539,81,294,45,124,<5,"2,245",<5,0,<5,0,7,<5,58,27
12150,Coonamble (A),7,74,462,0,177,<5,121,55,246,392,339,407,31,283,15,154,0,"1,098",0,0,<5,0,0,<5,47,10
12200,Cootamundra (A),0,5,"1,573",<5,308,5,137,128,433,518,394,388,62,256,25,96,<5,"2,384",<5,0,6,0,<5,<5,37,14
12300,Corowa Shire (A),<5,5,"2,360",<5,378,9,141,212,402,769,560,611,131,384,34,145,6,"3,256",5,<5,8,0,<5,<5,50,32
12350,Cowra (A),18,37,"2,271",9,507,12,254,228,779,"1,012",763,872,130,588,59,227,<5,"3,839",<5,0,12,0,<5,<5,92,36
12500,Deniliquin (A),<5,17,"1,166",<5,250,12,97,89,398,536,426,471,76,306,32,118,0,"1,931",<5,0,7,0,<5,5,52,23
12600,Dubbo (C),69,194,"4,536",26,"1,134",31,492,411,"1,660","3,339","2,692","2,575",374,"1,498",155,930,7,"8,284",14,<5,18,0,<5,8,339,124
12700,Dungog (A),<5,<5,"1,155",8,302,<5,144,179,404,571,427,466,109,281,23,102,<5,"1,968",<5,0,<5,0,5,10,29,23
12750,Eurobodalla (A),18,54,"8,185",36,"1,428",23,691,830,"2,372","2,800","2,065","2,307",428,"1,552",178,539,7,"12,707",12,<5,42,0,19,23,223,79
12850,Fairfield (C),10,61,"22,305",309,"12,761",312,"9,282",793,"8,444","19,810","15,751","18,722","4,510","12,179","2,361","2,757",88,"49,862",45,185,435,0,77,47,967,"3,075"
12900,Forbes (A),13,23,"1,466",<5,278,7,116,157,444,730,544,548,92,315,33,174,<5,"2,360",5,0,<5,0,6,<5,48,22
12950,Gilgandra (A),5,26,663,<5,138,<5,76,67,222,384,283,327,29,198,20,99,0,"1,143",<5,0,<5,0,<5,<5,34,6
13010,Glen Innes Severn (A),<5,15,"1,620",11,352,6,187,181,667,729,558,764,105,527,64,161,<5,"2,906",<5,0,7,0,<5,6,77,32
13050,Gloucester (A),<5,7,"1,080",<5,184,<5,97,147,260,366,279,340,52,232,18,70,<5,"1,631",<5,0,<5,0,<5,5,26,12
13100,Gosford (C),57,90,"25,517",238,"4,624",121,"1,671","2,665","6,059","10,620","8,253","8,406","1,798","4,891",434,"1,826",12,"37,784",65,14,133,0,26,37,641,900
13310,Goulburn Mulwaree (A),5,12,"4,114",27,844,24,345,377,"1,319","2,072","1,615","1,581",234,"1,076",119,463,<5,"6,833",12,<5,22,0,7,7,138,91
13320,Great Lakes (A),21,72,"9,373",35,"1,840",28,930,872,"2,270","2,510","1,896","2,292",364,"1,725",151,553,12,"14,103",14,<5,43,0,19,20,239,88
13340,Greater Hume Shire (A),<5,9,"1,337",5,326,<5,140,177,313,762,527,532,74,278,38,90,<5,"2,038",7,0,5,0,<5,<5,26,34
13380,Greater Taree (C),32,124,"9,972",41,"2,388",43,"1,243",666,"3,492","4,201","3,261","3,841",605,"2,753",309,904,15,"17,145",19,<5,61,0,22,35,474,167
13450,Griffith (C),8,38,"2,591",11,747,20,286,401,890,"2,046","1,470","1,345",156,731,92,368,<5,"4,527",16,11,8,0,13,9,144,75
13500,Gundagai (A),<5,<5,521,<5,115,<5,51,69,111,258,192,176,22,107,8,34,0,781,<5,0,<5,0,<5,<5,11,13
13550,Gunnedah (A),8,63,"1,599",12,328,6,142,141,491,908,722,817,100,516,43,250,<5,"2,696",<5,0,6,0,<5,<5,109,33
13650,Guyra (A),<5,20,635,<5,150,6,79,75,247,398,290,372,36,230,34,75,0,"1,134",<5,<5,<5,0,<5,<5,39,14
13660,Gwydir (A),<5,8,921,<5,199,5,99,53,290,401,314,323,41,154,23,81,<5,"1,476",<5,<5,<5,0,6,5,32,7
13700,Harden (A),0,<5,663,<5,107,5,47,39,182,247,172,155,23,86,16,42,<5,988,<5,<5,<5,0,<5,<5,7,12
13800,Hawkesbury (C),18,46,"5,897",61,"1,556",82,585,740,"1,677","4,078","3,154","2,741",512,"1,541",141,759,5,"9,905",30,<5,43,0,<5,14,169,276
13850,Hay (A),0,8,422,<5,77,<5,26,44,125,225,170,166,23,96,12,56,<5,664,0,0,<5,0,0,<5,14,8
13950,Holroyd (C),9,20,"10,518",159,"3,619",119,"2,055",710,"3,473","8,876","7,005","6,994","1,493","3,274",949,"1,071",17,"18,925",24,150,146,0,54,24,330,918
14000,Hornsby (A),10,7,"13,431",199,"2,086",109,530,"3,725","2,314","6,013","4,173","4,877","1,530","1,649",224,385,6,"17,697",14,93,104,0,6,<5,109,913
14100,Hunters Hill (A),<5,19,"1,085",10,158,7,47,373,230,228,181,219,66,116,5,20,<5,"1,465",0,6,6,0,<5,<5,<5,48
14150,Hurstville (C),6,<5,"8,919",82,"2,017",64,823,"1,354","1,694","4,906","3,578","3,845","1,003","1,625",271,485,13,"13,000",14,74,120,<5,13,8,107,631
14200,Inverell (A),9,65,"2,575",12,614,29,297,242,951,"1,545","1,198","1,346",167,741,111,372,5,"4,565",7,<5,5,0,10,9,174,59
14250,Jerilderie (A),0,0,210,0,46,<5,17,29,50,95,61,55,9,25,<5,14,0,306,0,0,0,0,0,0,0,<5
14300,Junee (A),<5,7,666,5,225,5,99,68,273,402,302,273,43,166,14,95,0,"1,217",<5,0,0,0,<5,<5,24,17
14350,Kempsey (A),62,166,"5,143",24,"1,746",19,"1,002",381,"2,624","2,750","2,233","2,416",352,"1,639",171,714,9,"10,468",17,<5,22,0,16,19,308,87
14400,Kiama (A),<5,6,"3,190",33,439,12,151,589,453,911,657,726,176,356,34,130,<5,"4,110",6,0,14,0,<5,<5,48,107
14450,Kogarah (C),0,12,"5,346",51,"1,264",31,446,"1,143",902,"2,894","2,103","2,203",572,900,151,246,8,"7,495",9,59,64,0,<5,6,59,374
14500,Ku-ring-gai (A),7,14,"6,846",77,"1,147",50,182,"4,290",720,"2,516","1,769","2,307",683,511,72,150,<5,"8,144",5,29,46,0,<5,0,36,511
14550,Kyogle (A),8,16,"1,442",18,320,7,205,147,761,790,588,830,149,653,56,154,<5,"2,914",<5,0,13,0,<5,6,78,32
14600,Lachlan (A),7,55,825,0,192,6,95,102,280,550,435,436,45,269,34,145,<5,"1,465",0,0,6,0,<5,<5,48,16
14650,Lake Macquarie (C),72,180,"30,554",235,"6,755",153,"2,796","2,660","8,683","12,328","9,765","10,284","2,221","5,854",516,"2,472",42,"47,860",54,10,135,0,65,67,"1,007",913
14700,Lane Cove (A),<5,20,"1,776",32,323,8,61,836,319,748,608,654,187,231,27,69,0,"2,341",5,6,15,0,<5,<5,14,149
14750,Leeton (A),<5,29,"1,438",<5,367,11,174,161,443,901,678,647,76,371,50,206,<5,"2,476",5,<5,7,0,<5,<5,72,34
14800,Leichhardt (A),23,8,"3,440",102,587,22,189,746,"1,213","1,115",932,"1,357",389,886,38,178,0,"5,422",14,<5,16,0,<5,<5,47,287
14850,Lismore (C),54,76,"5,616",201,"1,234",61,572,540,"2,904","3,983","3,105","3,817",846,"2,666",251,796,10,"11,313",21,<5,45,0,8,16,372,378
14870,Lithgow (C),<5,22,"3,498",16,765,17,364,204,"1,246","1,400","1,164","1,459",215,"1,028",106,360,9,"5,944",10,0,22,0,<5,14,144,77
14900,Liverpool (C),26,97,"16,247",228,"9,502",352,"6,026",903,"7,194","18,264","14,369","13,925","2,873","7,238","1,818","2,680",29,"36,424",46,158,227,<5,74,42,698,"1,864"
14920,Liverpool Plains (A),5,41,"1,176",<5,283,5,148,89,392,592,466,501,58,339,24,143,<5,"2,023",<5,0,5,0,<5,<5,48,19
14950,Lockhart (A),<5,<5,437,<5,96,<5,39,65,140,221,152,163,22,82,11,34,0,691,<5,0,<5,0,<5,0,11,5
15050,Maitland (C),33,88,"8,457",88,"2,555",85,"1,092",467,"3,438","5,776","4,764","4,773",785,"2,625",305,"1,375",9,"15,727",17,<5,42,0,21,32,534,315
15150,Manly (A),0,0,"2,112",36,301,12,65,"1,183",441,763,598,635,165,298,15,66,0,"2,875",6,0,12,0,<5,0,23,110
15200,Marrickville (A),32,36,"6,904",276,"1,628",25,679,553,"2,256","2,624","2,096","3,263","1,074","2,139",100,384,9,"11,272",14,13,63,<5,24,10,147,806
15270,Mid-Western Regional (A),8,27,"3,264",25,724,25,373,328,"1,088","1,623","1,272","1,467",214,905,104,349,6,"5,540",7,0,19,0,10,11,146,45
15300,Moree Plains (A),33,118,"1,174",<5,388,16,217,135,641,"1,214","1,015","1,071",100,772,54,422,<5,"2,723",5,0,5,0,<5,<5,130,20
15350,Mosman (A),<5,<5,"1,349",17,194,7,21,864,172,397,334,377,101,151,<5,37,0,"1,648",<5,<5,6,0,0,0,5,69
15500,Murray (A),0,6,"1,649",<5,284,7,101,147,242,529,360,437,121,221,16,83,<5,"2,198",<5,0,<5,0,<5,5,35,20
15550,Murrumbidgee (A),0,<5,244,0,74,<5,38,30,95,199,144,111,16,64,7,49,0,460,0,0,<5,0,0,<5,6,6
15650,Muswellbrook (A),5,34,"1,482",6,429,18,205,148,753,"1,286","1,142","1,112",94,822,77,424,<5,"3,264",11,0,14,0,<5,5,176,29
15700,Nambucca (A),10,81,"4,098",26,"1,003",16,570,266,"1,493","1,678","1,340","1,530",229,"1,171",116,408,7,"7,293",10,<5,21,0,14,20,182,57
15750,Narrabri (A),8,54,"1,561",6,372,13,159,119,503,966,754,864,90,555,46,271,<5,"2,730",<5,0,10,0,<5,<5,111,27
15800,Narrandera (A),<5,32,910,<5,249,8,113,81,289,499,391,387,61,234,29,134,<5,"1,564",<5,<5,5,0,<5,0,45,21
15850,Narromine (A),13,70,873,<5,152,<5,64,109,237,529,433,433,40,307,22,157,0,"1,468",0,0,<5,0,<5,<5,38,11
15900,Newcastle (C),131,153,"17,989",429,"4,032",109,"1,652","1,607","7,936","8,493","6,944","10,160","3,129","5,893",452,"1,699",21,"32,101",40,13,92,0,41,29,"1,002","2,255"
15950,North Sydney (A),<5,<5,"3,257",57,335,8,75,"1,556",639,985,812,889,236,488,23,92,<5,"4,268",<5,10,25,0,0,0,17,216
16100,Oberon (A),0,<5,714,5,124,8,57,104,207,348,277,270,48,156,19,66,0,"1,118",<5,0,6,0,0,<5,24,13
16150,Orange (C),20,99,"4,813",54,"1,079",45,422,466,"2,024","2,933","2,377","2,259",409,"1,273",150,793,5,"8,736",12,7,20,<5,9,8,283,211
16180,Palerang (A),<5,<5,"1,118",13,219,8,64,243,250,586,456,421,68,198,36,87,<5,"1,635",10,0,8,0,<5,5,14,21
16200,Parkes (A),11,55,"1,966",6,566,14,238,255,776,"1,174",925,"1,059",170,646,75,283,<5,"3,573",<5,0,10,0,6,8,137,61
16250,Parramatta (C),24,31,"15,346",330,"4,864",158,"2,843","1,780","5,746","13,180","10,243","10,897","2,478","5,089","1,293","1,290",26,"28,202",31,203,219,0,95,43,443,"1,574"
16350,Penrith (C),49,162,"16,665",251,"5,872",397,"2,505","1,005","6,108","15,116","12,143","10,661","1,827","5,395",706,"3,223",14,"31,420",51,32,118,0,50,44,757,928
16370,Pittwater (A),<5,<5,"5,468",40,644,24,138,"1,907",558,"1,912","1,437","1,121",245,453,43,200,<5,"6,631",8,<5,16,0,0,<5,35,165
16380,Port Macquarie-Hastings (A),41,109,"16,212",127,"3,195",35,"1,365","1,407","3,748","5,756","4,302","4,913",920,"3,055",363,"1,005",23,"24,141",26,<5,58,0,15,34,484,355
16400,Port Stephens (A),25,72,"11,531",58,"2,662",68,"1,216","1,065","3,182","4,866","3,871","4,068",675,"2,456",252,961,9,"18,167",24,7,56,0,19,27,386,238
16470,Queanbeyan (C),10,35,"2,956",25,694,25,185,289,"1,147","2,010","1,641","1,337",208,724,73,410,0,"5,075",12,<5,13,0,<5,0,111,78
16550,Randwick (C),74,69,"10,731",169,"2,076",46,705,"2,313","2,965","3,696","2,963","3,777","1,252","1,840",128,526,7,"15,804",22,27,77,0,7,9,149,"1,001"
16610,Richmond Valley (A),13,94,"3,900",34,"1,102",36,568,277,"1,663","2,152","1,637","1,885",280,"1,175",162,483,7,"7,330",6,<5,15,0,9,30,260,74
16650,Rockdale (C),10,9,"11,926",125,"2,959",62,"1,281","1,411","2,562","5,979","4,584","4,567","1,060","2,067",499,618,15,"17,604",23,50,103,0,25,16,158,670
16700,Ryde (C),29,9,"9,884",149,"1,832",48,681,"1,992","2,225","4,439","3,271","3,836","1,263","1,486",208,301,<5,"13,954",11,98,113,0,5,5,107,884
16900,Shellharbour (C),27,87,"9,307",62,"2,765",63,"1,183",436,"3,201","5,259","4,118","3,946",755,"2,263",228,"1,087",14,"16,163",19,6,58,0,22,16,391,337
16950,Shoalhaven (C),55,174,"19,313",110,"4,195",80,"2,050","1,648","5,445","7,482","5,784","6,236","1,061","4,087",456,"1,460",23,"30,524",35,<5,81,0,25,44,585,303
17000,Singleton (A),<5,30,"1,868",17,569,22,228,242,750,"1,268","1,058","1,152",184,684,68,332,<5,"3,525",<5,0,16,0,5,<5,156,58
17050,Snowy River (A),0,<5,662,5,101,<5,38,113,157,398,268,279,48,145,19,31,0,944,<5,0,0,0,<5,0,10,11
17100,Strathfield (A),<5,7,"2,598",67,693,23,296,507,650,"1,992","1,423","1,670",469,644,136,132,5,"4,064",<5,36,54,0,7,<5,49,297
17150,Sutherland Shire (A),18,41,"22,992",188,"3,847",184,"1,012","4,592","3,471","7,955","5,965","5,784","1,368","2,435",184,"1,034",8,"29,963",48,28,104,0,13,<5,188,736
17200,Sydney (C),96,89,"8,985",461,"1,706",21,885,"1,288","5,879","3,429","2,914","5,767","1,912","4,368",157,558,8,"18,286",24,90,111,0,13,<5,253,"1,468"
17310,Tamworth Regional (A),55,263,"8,072",30,"1,789",54,841,643,"2,537","4,923","3,850","4,169",566,"2,507",276,"1,314",16,"13,930",18,<5,35,0,21,21,520,197
17350,Temora (A),0,<5,"1,046",<5,180,<5,89,127,249,442,296,324,51,181,14,71,0,"1,538",<5,0,<5,0,<5,<5,37,16
17400,Tenterfield (A),<5,22,"1,332",12,251,<5,148,107,531,529,401,582,87,463,37,114,<5,"2,383",<5,0,5,0,5,6,52,14
17420,The Hills Shire (A),10,6,"14,303",179,"2,839",95,716,"3,941","2,061","7,486","5,245","5,570","1,558","1,646",316,556,<5,"18,645",25,104,128,0,8,8,137,911
17450,Tumbarumba (A),<5,0,533,<5,97,5,47,46,119,229,172,173,26,99,14,44,0,796,<5,0,<5,0,0,0,15,<5
17500,Tumut Shire (A),7,24,"1,745",5,306,15,134,185,470,798,613,568,75,401,36,161,<5,"2,742",<5,<5,<5,0,5,<5,57,14
17550,Tweed (A),71,128,"16,903",163,"3,394",45,"1,487","1,346","4,811","6,958","5,343","5,768","1,149","3,830",426,"1,228",16,"26,664",44,8,97,0,28,30,549,391
17620,Upper Hunter Shire (A),5,8,"1,769",6,289,5,128,220,421,808,639,635,110,411,43,170,<5,"2,713",<5,<5,11,0,7,6,55,40
