LGA,LGA name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice)
17640,Upper Lachlan Shire (A),0,<5,"1,070",<5,212,7,75,199,264,455,308,326,53,150,27,60,<5,"1,562",<5,0,<5,0,<5,<5,20,13
17650,Uralla (A),9,12,912,<5,186,5,90,90,265,465,316,414,78,211,26,58,<5,"1,443",0,0,<5,0,<5,5,28,20
17700,Urana (A),<5,<5,196,0,46,<5,21,22,73,89,60,66,6,41,<5,16,<5,329,0,0,<5,0,0,<5,8,<5
17750,Wagga Wagga (C),44,105,"6,362",93,"1,589",84,629,766,"2,279","4,381","3,447","3,824",949,"1,859",212,970,<5,"11,101",11,<5,12,0,8,<5,395,741
17800,Wakool (A),0,<5,660,0,76,0,40,79,138,227,156,226,71,94,10,38,<5,928,<5,0,<5,0,0,<5,13,16
17850,Walcha (A),0,6,407,<5,61,<5,31,98,132,238,161,192,28,88,17,38,<5,651,0,0,<5,0,<5,<5,12,11
17900,Walgett (A),17,84,910,<5,343,5,246,58,625,642,549,779,45,596,28,233,<5,"2,220",<5,<5,7,0,<5,<5,89,12
17950,Warren (A),<5,14,330,0,74,<5,31,65,98,204,154,189,13,147,10,56,0,572,<5,0,<5,0,0,0,25,5
18000,Warringah (A),7,13,"13,384",121,"1,850",73,458,"3,439","2,134","4,964","3,619","3,349",726,"1,457",128,525,<5,"17,339",19,11,61,0,6,5,107,468
18020,Warrumbungle Shire (A),11,29,"1,695",<5,381,<5,209,152,546,731,538,699,102,462,59,153,<5,"2,817",7,0,10,0,<5,8,53,35
18050,Waverley (A),<5,6,"3,778",88,681,15,207,"1,010",854,"1,392","1,134","1,379",319,685,62,147,<5,"5,268",10,10,22,0,<5,0,46,224
18100,Weddin (A),0,0,706,<5,145,<5,81,93,218,237,158,190,35,120,17,31,0,"1,109",<5,0,5,0,0,<5,15,11
18150,Wellington (A),16,75,"1,275",6,325,9,167,106,484,741,585,660,64,496,50,211,<5,"2,362",<5,<5,7,0,<5,<5,77,20
18200,Wentworth (A),<5,27,900,6,235,<5,126,86,321,521,392,557,119,353,30,110,<5,"1,619",<5,0,<5,0,<5,<5,52,24
18250,Willoughby (C),6,<5,"4,064",60,679,21,189,"1,709",765,"1,911","1,414","1,678",485,560,79,115,<5,"5,454",13,55,37,0,5,0,41,300
18350,Wingecarribee (A),6,12,"7,340",32,"1,145",30,407,"1,377","1,471","2,629","1,925","1,706",314,771,115,378,<5,"10,047",16,<5,19,0,9,6,103,117
18400,Wollondilly (A),10,24,"4,431",36,"1,363",73,480,451,995,"2,805","2,101","1,920",360,786,83,489,7,"6,912",16,0,27,0,11,9,107,162
18450,Wollongong (C),102,131,"27,403",350,"6,926",167,"2,921","2,423","8,991","11,889","9,490","11,756","3,423","6,681",762,"2,233",44,"45,076",66,14,134,0,59,48,"1,003","2,355"
18500,Woollahra (A),<5,20,"2,174",59,354,10,73,"1,205",397,765,618,731,203,357,21,82,0,"2,858",<5,<5,14,0,<5,0,14,156
18550,Wyong (A),62,158,"25,201",195,"6,324",178,"2,810","1,526","7,719","13,050","10,433","10,210","1,659","6,402",568,"2,737",25,"42,187",86,11,120,0,54,49,976,661
18710,Yass Valley (A),<5,14,"1,393",10,301,6,109,282,349,766,553,509,83,217,40,115,0,"2,098",7,0,5,0,<5,0,23,43
18750,Young (A),<5,19,"1,898",<5,385,14,170,180,648,"1,112",856,803,98,468,84,246,<5,"3,223",<5,0,10,0,7,7,86,41
19399,Unincorporated NSW,0,0,167,<5,21,0,7,28,29,83,51,56,0,41,5,6,<5,229,0,0,0,0,0,<5,<5,0
20110,Alpine (S),<5,0,"2,182",13,335,7,143,276,416,796,559,685,219,345,39,105,<5,"3,050",<5,<5,10,0,<5,6,27,47
20260,Ararat (RC),<5,<5,"1,890",11,369,13,167,196,660,794,587,830,270,460,51,129,<5,"3,099",<5,0,6,0,<5,<5,74,37
20570,Ballarat (C),19,31,"12,726",239,"3,288",111,"1,518","1,042","5,264","7,846","6,200","8,878","3,484","4,159",417,"1,568",23,"23,215",44,<5,77,0,25,24,807,"1,353"
20660,Banyule (C),17,12,"13,153",206,"2,964",97,876,"2,321","3,354","5,579","4,345","6,764","2,924","2,651",291,716,6,"19,493",42,30,80,0,23,10,278,"1,015"
20740,Bass Coast (S),<5,<5,"6,521",43,"1,066",19,452,763,"1,642","2,546","1,905","2,455",791,"1,530",162,440,9,"9,974",11,<5,32,0,13,14,141,103
20830,Baw Baw (S),8,8,"6,772",62,"1,465",39,520,826,"1,736","3,588","2,719","3,291","1,205","1,505",166,622,6,"10,584",15,0,36,<5,9,9,199,239
20910,Bayside (C),<5,<5,"7,958",102,"1,380",28,314,"2,903","1,625","2,153","1,649","2,751","1,117","1,029",58,265,<5,"10,691",25,7,41,<5,<5,<5,71,433
21010,Benalla (RC),7,<5,"2,571",11,490,18,211,276,732,"1,077",825,"1,048",340,498,55,228,<5,"4,064",8,<5,22,0,<5,7,72,67
21110,Boroondara (C),5,8,"10,047",329,"2,130",69,388,"4,664","2,168","3,477","2,539","5,970","3,082","1,576",105,256,<5,"13,599",21,28,54,0,6,6,112,"1,712"
21180,Brimbank (C),12,15,"21,374",422,"8,435",224,"3,964",960,"6,808","16,785","13,354","19,301","6,196","9,945","1,455","2,604",58,"39,920",80,133,273,0,116,92,943,"2,372"
21270,Buloke (S),<5,<5,"1,134",<5,237,<5,112,144,319,419,267,514,104,214,26,38,0,"1,718",<5,0,<5,0,<5,<5,18,27
21370,Campaspe (S),15,29,"6,133",25,"1,240",31,505,582,"1,657","2,849","2,120","2,638",732,"1,355",154,534,<5,"9,621",20,0,34,0,16,22,188,154
21450,Cardinia (S),<5,11,"8,152",114,"2,385",86,857,704,"2,262","8,139","6,295","6,068","1,919","2,418",412,"1,372",7,"14,168",29,10,58,0,8,8,324,519
21610,Casey (C),11,35,"22,855",392,"8,648",237,"3,740","1,386","8,530","27,273","20,596","22,844","7,315","8,634","1,888","3,361",28,"43,596",107,120,237,0,42,29,"1,153","2,487"
21670,Central Goldfields (S),<5,<5,"3,065",11,674,10,376,109,"1,087","1,087",823,"1,363",435,788,78,207,8,"5,151",11,<5,21,0,8,11,120,51
21750,Colac-Otway (S),<5,<5,"3,078",14,557,16,239,388,"1,046","1,563","1,103","1,512",549,725,70,219,5,"5,017",6,<5,22,0,<5,9,93,90
21830,Corangamite (S),0,7,"2,330",17,428,18,177,319,669,"1,124",781,"1,152",404,471,66,161,5,"3,641",10,0,19,0,<5,6,51,65
21890,Darebin (C),33,23,"16,127",591,"4,552",91,"1,650","1,156","5,324","6,891","5,391","10,076","4,373","4,862",433,899,16,"26,217",50,35,82,0,68,22,408,"1,809"
22110,East Gippsland (S),11,47,"9,152",37,"1,682",44,769,948,"2,501","3,331","2,503","3,801","1,095","2,262",225,598,16,"14,072",25,<5,45,0,14,16,276,142
22170,Frankston (C),12,19,"15,303",194,"3,723",117,"1,488","1,027","5,461","10,751","8,616","9,179","2,976","5,002",450,"2,013",11,"27,292",60,11,85,<5,11,18,625,909
22250,Gannawarra (S),5,9,"2,102",<5,348,7,150,196,510,773,531,737,212,339,35,121,<5,"3,071",6,0,15,0,<5,<5,39,46
22310,Glen Eira (C),6,<5,"12,177",244,"2,674",39,640,"2,341","2,701","4,790","3,588","5,838","2,431","2,042",220,344,10,"16,890",22,32,66,0,14,13,124,"1,082"
22410,Glenelg (S),<5,16,"3,028",17,717,25,367,315,"1,043","1,366","1,059","1,428",448,882,98,237,<5,"5,259",8,0,30,<5,9,6,138,63
22490,Golden Plains (S),<5,<5,"1,963",19,656,29,263,213,640,"1,550","1,037","1,321",461,564,40,182,<5,"3,369",10,<5,13,0,8,11,64,82
22620,Greater Bendigo (C),20,40,"14,204",164,"3,646",92,"1,688","1,141","5,378","8,757","6,855","8,623","3,090","4,329",490,"1,746",20,"25,472",49,5,75,0,30,39,686,"1,210"
22670,Greater Dandenong (C),<5,14,"17,544",253,"5,122",149,"2,797",712,"6,861","13,589","10,565","14,477","4,751","6,943","1,328","1,633",46,"32,664",49,226,207,0,55,34,695,"1,915"
22750,Greater Geelong (C),43,59,"31,621",393,"7,414",281,"3,060","2,822","9,209","15,817","12,508","17,262","6,433","8,466",808,"2,858",43,"51,400",102,19,205,<5,42,38,"1,206","2,404"
22830,Greater Shepparton (C),36,73,"7,948",49,"2,367",67,"1,097",729,"3,241","5,601","4,265","5,254","1,344","2,780",381,"1,033",<5,"14,827",30,29,29,0,17,27,437,416
22910,Hepburn (S),5,<5,"2,536",21,449,12,208,200,769,"1,085",821,"1,052",369,589,83,157,<5,"4,007",<5,<5,21,0,<5,<5,54,49
22980,Hindmarsh (S),0,<5,"1,020",<5,169,5,94,156,331,350,242,391,118,188,24,43,<5,"1,610",<5,0,8,0,<5,<5,21,23
23110,Hobsons Bay (C),8,7,"9,598",148,"2,594",68,"1,042",872,"2,509","4,694","3,808","5,502","1,854","2,734",360,654,15,"15,228",23,13,74,0,19,17,236,604
23190,Horsham (RC),<5,11,"2,722",17,547,24,195,386,911,"1,545","1,128","1,453",517,609,89,275,<5,"4,487",5,<5,11,0,<5,<5,111,130
23270,Hume (C),19,27,"16,560",294,"9,767",294,"5,884",801,"7,903","19,308","15,276","19,941","5,120","9,488","2,169","2,464",37,"37,034",77,54,160,0,88,56,"1,234","2,071"
23350,Indigo (S),<5,<5,"2,274",7,399,14,141,264,494,"1,058",768,834,205,428,42,139,<5,"3,299",6,0,15,0,<5,<5,51,59
23430,Kingston (C),9,5,"18,261",164,"3,487",74,"1,127","2,130","4,050","7,292","5,476","7,421","3,046","3,116",245,787,13,"26,012",36,52,102,0,25,14,271,993
23670,Knox (C),9,6,"17,393",197,"3,723",119,"1,177","1,589","4,057","9,361","6,864","9,263","3,776","3,566",409,"1,102",26,"25,786",49,50,116,0,19,15,363,"1,100"
23810,Latrobe (C),12,35,"10,238",97,"2,820",93,"1,291",660,"4,477","5,744","4,754","6,740","1,825","4,228",364,"1,500",12,"19,567",37,6,65,<5,19,36,706,448
23940,Loddon (S),0,0,"1,416",7,321,<5,188,125,519,531,366,601,143,351,45,66,<5,"2,390",<5,0,7,0,<5,8,29,35
24130,Macedon Ranges (S),<5,<5,"4,750",50,"1,026",42,328,708,"1,055","2,347","1,726","2,201",876,817,80,283,0,"6,876",6,<5,31,0,8,<5,83,179
24210,Manningham (C),<5,<5,"14,010",135,"2,713",47,718,"3,752","1,807","4,638","3,222","5,646","2,624","1,659",189,305,13,"17,765",21,47,72,0,15,7,136,865
24250,Mansfield (S),<5,<5,"1,360",<5,173,<5,69,164,247,542,382,437,132,229,18,56,<5,"1,867",0,0,<5,0,0,<5,12,25
24330,Maribyrnong (C),15,7,"6,039",326,"1,892",37,830,310,"2,489","3,982","3,227","6,589","2,665","3,456",335,551,14,"11,533",28,37,102,0,19,7,295,"1,155"
24410,Maroondah (C),7,11,"12,293",158,"2,314",67,673,"1,537","3,354","6,530","4,987","6,629","2,429","2,628",431,807,7,"18,557",39,25,55,0,6,7,299,739
24600,Melbourne (C),51,13,"3,431",374,739,12,341,945,"2,082","2,259","1,965","5,669","2,974","2,603",200,366,<5,"7,135",17,37,57,0,<5,<5,212,"1,764"
24650,Melton (C),12,20,"8,944",181,"5,001",196,"2,190",367,"3,995","12,555","9,875","10,903","2,974","4,657",848,"2,149",20,"19,698",54,28,131,0,38,44,629,"1,006"
24780,Mildura (RC),20,83,"7,443",53,"2,144",45,916,535,"2,914","4,770","3,663","4,849","1,078","2,666",363,967,12,"13,501",22,12,43,0,17,17,471,251
24850,Mitchell (S),<5,15,"4,098",33,"1,323",38,538,313,"1,445","3,375","2,648","2,765",713,"1,370",143,603,6,"7,407",16,<5,23,0,8,13,229,204
24900,Moira (S),<5,14,"5,372",19,"1,114",24,497,438,"1,360","2,243","1,639","2,006",523,"1,099",91,428,8,"8,303",14,5,25,0,10,7,128,106
24970,Monash (C),15,5,"20,081",233,"3,816",76,"1,160","3,916","3,430","7,737","5,522","9,379","4,546","2,928",309,558,31,"27,006",28,117,135,0,34,12,230,"1,936"
25060,Moonee Valley (C),9,8,"12,862",234,"3,206",66,"1,019","1,692","2,710","4,497","3,465","6,300","2,646","2,900",235,620,10,"18,473",22,22,68,0,19,5,251,"1,057"
25150,Moorabool (S),<5,7,"3,479",33,"1,040",22,416,312,988,"2,233","1,704","2,135",735,"1,015",92,373,5,"5,814",17,<5,27,0,7,11,137,153
25250,Moreland (C),35,15,"17,532",629,"5,397",127,"2,106","1,179","5,093","8,022","6,341","11,463","4,659","5,188",665,857,18,"27,797",49,27,95,0,70,38,491,"1,944"
25340,Mornington Peninsula (S),6,25,"25,189",179,"4,011",104,"1,422","3,608","5,008","9,500","7,286","8,177","2,798","4,046",342,"1,596",19,"35,619",70,5,113,0,19,21,412,643
25430,Mount Alexander (S),<5,<5,"3,137",40,429,9,188,359,913,"1,321",980,"1,285",433,701,85,156,<5,"4,794",8,0,21,0,5,<5,66,66
25490,Moyne (S),<5,13,"1,870",13,421,10,166,331,495,"1,180",780,"1,029",381,441,46,136,<5,"2,965",<5,0,12,0,6,7,40,60
25620,Murrindindi (S),<5,<5,"2,166",7,367,7,158,278,595,913,647,760,264,406,37,112,5,"3,291",7,0,14,0,<5,5,25,37
25710,Nillumbik (S),6,<5,"4,313",94,"1,133",49,252,"1,089",887,"2,431","1,712","2,843","1,344",806,52,247,<5,"6,157",21,<5,24,0,<5,<5,87,328
25810,Northern Grampians (S),<5,<5,"2,073",9,418,11,181,190,837,820,595,857,292,473,51,130,<5,"3,541",5,<5,18,0,9,6,65,35
25900,Port Phillip (C),12,<5,"5,896",261,"1,235",18,424,"1,369","3,263","2,408","2,040","4,201","1,579","2,610",125,400,9,"11,107",24,19,49,0,9,5,167,633
25990,Pyrenees (S),<5,<5,"1,287",5,294,5,149,109,437,514,362,608,196,323,29,74,<5,"2,127",6,0,13,0,5,<5,30,23
26080,Queenscliffe (B),0,0,611,<5,64,0,19,181,49,111,82,107,52,47,<5,14,0,727,<5,0,0,0,0,0,<5,7
26170,South Gippsland (S),<5,5,"4,470",37,758,16,291,735,"1,116","2,027","1,454","1,864",668,872,110,276,<5,"6,683",12,0,20,0,9,6,86,103
26260,Southern Grampians (S),0,8,"2,485",9,412,12,190,319,683,"1,181",823,"1,188",449,555,75,162,<5,"3,848",5,0,12,0,<5,0,108,75
26350,Stonnington (C),8,<5,"6,190",222,"1,219",19,325,"1,989","1,765","1,791","1,459","3,408","1,599","1,495",58,243,<5,"9,136",19,25,53,0,7,<5,134,901
26430,Strathbogie (S),<5,<5,"1,958",10,329,7,144,262,445,657,502,604,206,345,34,104,<5,"2,850",9,0,8,0,<5,<5,25,38
26490,Surf Coast (S),<5,<5,"3,009",58,484,20,155,637,574,"1,552","1,094","1,401",582,536,66,163,<5,"4,170",<5,<5,11,0,<5,<5,41,143
26610,Swan Hill (RC),6,37,"2,734",5,677,17,296,275,947,"1,711","1,273","1,510",384,756,110,331,<5,"4,709",6,6,10,0,6,6,96,78
26670,Towong (S),<5,5,985,<5,184,8,65,164,238,368,254,336,86,221,15,44,<5,"1,458",<5,0,<5,0,<5,0,20,16
26700,Wangaratta (RC),0,7,"4,473",24,866,29,341,450,"1,230","2,118","1,516","1,861",596,971,114,339,6,"6,996",11,<5,43,0,11,10,121,129
26730,Warrnambool (C),<5,18,"4,511",46,944,39,340,414,"1,361","2,523","1,893","2,598","1,155","1,299",128,477,7,"7,597",20,<5,41,0,7,12,204,260
26810,Wellington (S),8,13,"6,090",33,"1,464",46,638,574,"1,919","2,959","2,270","3,125","1,065","1,619",177,542,6,"10,116",19,<5,37,<5,<5,17,247,195
26890,West Wimmera (S),0,0,643,<5,111,<5,41,99,170,257,169,210,63,111,17,18,<5,948,<5,0,5,0,<5,<5,7,12
26980,Whitehorse (C),8,8,"17,862",294,"3,016",74,808,"3,445","3,465","6,582","4,787","8,360","3,932","2,539",325,475,14,"23,998",16,64,129,<5,13,<5,252,"1,510"
27070,Whittlesea (C),32,44,"18,574",277,"7,938",190,"3,394",944,"6,627","16,693","12,955","15,234","5,004","6,362","1,225","2,275",46,"34,174",75,93,136,0,83,51,746,"1,915"
27170,Wodonga (RC),13,16,"4,333",45,"1,331",45,550,318,"1,541","3,370","2,678","2,795",661,"1,495",150,701,7,"7,917",13,0,20,0,6,9,260,196
27260,Wyndham (C),21,37,"11,788",340,"5,482",200,"2,236",827,"4,407","20,220","16,207","17,308","4,700","6,414","1,565","2,720",16,"24,356",62,51,154,0,31,35,784,"1,478"
27350,Yarra (C),19,6,"5,146",456,"1,239",22,553,905,"2,718","2,427","2,095","4,982","2,346","2,726",217,537,5,"10,182",19,32,66,<5,10,7,207,"1,102"
27450,Yarra Ranges (S),11,21,"16,398",179,"3,527",105,"1,070","1,631","4,637","9,993","7,435","8,753","3,350","3,645",397,"1,318",17,"25,772",52,7,109,0,21,19,416,774
27630,Yarriambiack (S),0,0,"1,209",<5,304,<5,151,166,504,447,317,518,152,230,30,68,<5,"2,080",<5,0,9,0,5,<5,36,34
29399,Unincorporated Vic,0,0,22,0,<5,0,<5,7,9,13,11,19,8,14,0,<5,0,39,0,0,0,0,0,0,0,0
30250,Aurukun (S),<5,38,48,0,24,<5,25,0,64,180,168,362,<5,310,37,39,0,227,0,0,<5,0,0,<5,26,0
30300,Balonne (S),12,32,409,<5,96,5,45,59,135,397,295,361,26,188,14,102,<5,750,0,0,5,0,<5,0,32,11
30370,Banana (S),<5,20,"1,149",11,268,5,92,244,306,740,573,732,81,416,45,135,<5,"1,825",<5,0,<5,0,0,<5,59,11
30410,Barcaldine (R),0,<5,328,<5,52,0,19,35,58,206,150,156,18,63,11,26,0,465,<5,0,<5,0,0,<5,8,<5
30450,Barcoo (S),0,0,24,0,<5,0,<5,<5,<5,15,10,7,0,<5,<5,<5,0,32,0,0,0,0,0,0,0,0
30760,Blackall-Tambo (R),0,6,287,<5,65,0,34,18,84,139,87,97,12,47,9,25,0,459,<5,0,0,0,<5,0,6,<5
30900,Boulia (S),<5,10,12,<5,5,0,<5,<5,8,33,26,36,<5,35,<5,9,0,45,<5,0,0,0,0,0,5,0
31000,Brisbane (C),393,427,"85,453","2,505","17,395",474,"5,938","14,263","26,187","52,156","41,210","56,608","17,506","27,801","2,989","7,416",56,"137,476",286,267,560,0,113,75,"4,008","11,400"
31750,Bulloo (S),0,0,21,0,<5,0,0,<5,<5,17,12,7,0,<5,<5,<5,0,28,<5,0,0,0,0,0,0,0
31820,Bundaberg (R),37,145,"16,512",163,"4,538",107,"2,255","1,096","5,168","7,734","6,145","8,255","1,516","5,487",596,"1,738",41,"28,478",49,12,102,0,64,64,998,390
31900,Burdekin (S),8,48,"2,354",7,478,8,187,310,601,"1,062",839,957,103,652,54,255,<5,"3,697",7,0,10,0,<5,10,101,32
31950,Burke (S),<5,11,10,0,<5,0,<5,<5,12,20,18,38,<5,32,<5,<5,0,33,0,0,0,0,0,0,0,<5
32080,Cairns (R),262,692,"13,533",294,"3,445",88,"1,511","1,304","5,222","13,362","10,886","12,780","1,776","7,968",865,"3,186",9,"26,360",73,14,95,0,27,16,"1,150",648
32250,Carpentaria (S),15,36,163,0,33,0,27,<5,78,184,157,252,12,194,28,57,0,368,<5,0,<5,0,0,0,28,<5
32260,Cassowary Coast (R),34,161,"3,796",17,804,16,420,516,"1,259","2,391","1,884","2,095",235,"1,526",180,532,<5,"6,775",9,5,20,0,11,18,190,53
32270,Central Highlands (R),15,27,"1,235",11,413,16,161,144,495,"1,458","1,191","1,184",130,737,79,353,<5,"2,573",6,0,6,0,<5,<5,120,25
32310,Charters Towers (R),20,61,"1,506",<5,333,11,169,100,479,842,682,854,73,597,46,218,<5,"2,605",<5,0,5,0,<5,<5,103,14
32330,Cherbourg (S),7,75,48,0,39,0,32,0,113,235,224,286,11,215,14,132,0,385,0,<5,<5,0,0,0,75,<5
32450,Cloncurry (S),5,38,158,0,31,0,17,9,53,191,157,176,7,144,14,57,0,337,0,0,<5,0,0,<5,15,<5
32500,Cook (S),9,59,458,<5,91,<5,52,36,224,389,320,447,22,343,42,110,<5,975,<5,0,<5,0,<5,<5,31,5
32600,Croydon (S),0,5,15,0,7,0,<5,<5,11,26,20,29,0,21,<5,<5,0,37,0,0,0,0,0,0,<5,0
32750,Diamantina (S),<5,<5,7,0,<5,0,<5,0,<5,15,12,8,<5,7,<5,<5,0,18,0,0,0,0,0,0,0,0
32770,Doomadgee (S),<5,44,30,0,17,0,15,0,52,240,203,341,<5,225,71,56,0,193,<5,0,0,0,0,0,41,0
32810,Douglas (S),6,44,"1,250",12,235,9,126,195,485,860,656,841,120,616,60,168,<5,"2,257",8,0,<5,0,<5,<5,60,12
33100,Etheridge (S),0,6,86,0,19,0,11,7,26,56,39,52,<5,25,<5,9,0,136,0,0,0,0,0,0,0,0
33200,Flinders (S),<5,<5,172,<5,33,<5,11,28,55,137,102,132,9,79,5,24,0,299,0,0,0,0,0,0,8,<5
33220,Fraser Coast (R),43,180,"20,454",189,"5,792",68,"2,997","1,100","7,106","8,508","6,801","8,894","1,715","6,080",701,"1,799",41,"35,524",58,5,113,0,52,63,"1,021",362
33360,Gladstone (R),18,77,"4,563",41,"1,348",53,554,420,"1,678","3,654","3,159","4,435",449,"3,102",309,"1,020",<5,"8,972",18,<5,36,0,12,19,522,94
33430,Gold Coast (C),175,187,"60,970","1,213","13,474",300,"5,499","6,532","14,849","39,566","30,680","33,331","7,426","18,104","1,933","6,530",54,"96,971",224,52,428,<5,76,71,"2,243","4,146"
33610,Goondiwindi (R),6,29,"1,184",6,287,11,124,159,382,868,654,657,91,262,34,171,<5,"1,999",7,<5,9,0,<5,<5,56,27
